tweets,likes,time
"In summary, England played brilliantly, so did Denmark. I’m pleased to note that England won, Gareth Southgate it would seem has read for The Art Of War’ (Sun Tzu)…
‘Strategy without tactics is the slowest route to victory. Tactics without strategy is the noise before defeat.’❤️",3,2021-07-07 21:48:51
"“If you know the enemy and know yourself, you need not fear the result of a hundred battles.”
― Sun Tzu, The Art of War https://t.co/8HyuNV8JDA",0,2021-07-07 21:48:50
should i read the odyssey or the art of war first,1,2021-07-07 21:25:29
"Sun Tszu in the Art of War advocated that ""attack is the best form of defence"" (I paraphrase) clearly Southgate has never read that book.",0,2021-07-07 21:23:31
"“Nor can the dead ever be brought back to life.” - Sun Tzu, The Art of War, mostly right here until that day comes when he is proven entirely wrong, thanks be to God. https://t.co/PbmjrWnFu6",1,2021-07-07 21:16:30
"@ValaAfshar @KhandaniM On desperate ground, Fight. 

-Sun Tzu, The Art Of War",0,2021-07-07 21:13:56
"@Zwaii_ME My Bible,  the art of War",1,2021-07-07 21:06:16
"“Talk about Sun Tzu and the Art of War, or Machiavelli’s The Prince in action.
Hannah-Jones and Howard University made some bold, bad, and straight-up gangsta moves on this one. 3/",16,2021-07-07 20:56:43
"@jcarrington @alixabeth Yes but that's their Achilles Heel. The fact that they know so little about us (by choice) yet we know most everything there is to know about them, (for our own survival). One only has to read ""The Art of War"" to see the TRUE power dynamics in fully knowing the opposition vs not.",21,2021-07-07 20:51:09
"""The Art of War""  is the world's first Ted Talk.",0,2021-07-07 20:44:28
"The wise warrior avoids the battle.

―Sun Tzu, The Art of War",0,2021-07-07 20:25:20
"@hotbbqwings @news10nbc @NYGovCuomo ... thereby dividing our resources and making us spread our resources too thin so that we are not able to defend and address the issues that we need to. ""if your enemy divides their army and sends troops everywhere everywhere they will be weak"" Sun Tzu The art of War",0,2021-07-07 20:23:10
@mepratt24 @Geezy172 @MYhcnup It's the art of war that the white hats are doing. Having the enemy look over here while they are cleaning up over there.,6,2021-07-07 20:04:16
"@AdrienneMH2425 @atrupar If you know the enemy and know yourself, you need not fear the result of a hundred battles. If you know yourself but not the enemy, for every victory gained you will also suffer a defeat.

Sun Tzu, The Art of War",1,2021-07-07 19:57:58
@MasculineTheory @RationalMale The art of war,0,2021-07-07 19:47:56
"@MattRiv2 Man  that's what it takes
""It Pays to keep an eye on your enemies"" (Obi Wan Kenobi * The Art of War * Kermit the Frog)
...something like that",1,2021-07-07 19:47:43
@Mallimall314 @Suns He don’t understand the art of war lol,1,2021-07-07 19:45:07
"Honestly, the longer #ZumaArrest continues without arrest, the higher the chances of uBaba walking free. 

“War is like a fire - if you do not put it out, it will burn itself out [instead of burning the thing you intended to burn” - Li Quran (The Art of War) https://t.co/tu2a7m3XMI",2,2021-07-07 19:22:20
"The wise warrior avoids the battle.

―Sun Tzu, The Art of War
#igboho #YorubaNationNow #SUNDAYIGBOHO #warrior #battle",0,2021-07-07 19:12:50
"""Confound the expectations of your opponent by picking your worst players""

Sun Tzu

The Art of War https://t.co/eLPnIdPSE5",0,2021-07-07 19:10:42
"The wise warrior avoids the battle.

―Sun Tzu, The Art of War",0,2021-07-07 19:06:05
"The wise warrior avoids the battle.

―Sun Tzu, The Art of War",0,2021-07-07 18:56:25
"🎙️ @MichaelEOHanlon: “I'm trying to push back both against the people who say the world is falling apart and the people who say we don't really need much of a military budget, that war has become obsolete…I'm trying to chart a passionate middle course.” https://t.co/AIUHWd06tH",6,2021-07-07 18:49:01
"The wise warrior avoids the battle.

―Sun Tzu, The Art of War",621,2021-07-07 18:45:09
"Only through the art of war, can you master the art of peace.",1,2021-07-07 18:43:32
@BritishHodl The Art of War.,6,2021-07-07 18:41:43
"@tangerinesghost I also recommend in FanfictionNet: 
We're in this together ( Also in Ao3 i think) 
Damaged Raven 
A flower for the Soul 
Apex
Severus Snape and The Art of War
I'm not a Hero 
Moratorium
Rise of the Wizards
Angry Harry and the Seven 
Honor Thy Blood",1,2021-07-07 18:37:17
"The Art of war  from ANC current administration factions  is All about crippling Comrades who are not on their sides, and also sending strong message to those who wanna fight to be silent, as their Skeltons will be used against them",457,2021-07-07 18:28:16
"“If your enemy is secure at all points, be prepared for him. If he is in superior strength, evade him. If your opponent is temperamental, seek to irritate him. Pretend to be weak, that he may grow arrogant. "" ― Sun Tzu, The Art of War https://t.co/ZSAs2hcb92",0,2021-07-07 18:14:41
"@cringepicture ''when the cringe is not detected, the ratio comes''
-sun tzu, the art of war",1,2021-07-07 18:02:52
@HonSsegirinyaMu You need to read 'The Art of War' sir. I think you're over exposing your strategies especially because the gangsters are still holding onto power.,1,2021-07-07 17:49:38
"@PR4DANGEL omg we kinda have similar tastes so some that i really like are the art of war, the catcher in the rye, wuthering heights and i recently read the metamorphosis it's a novella i loved it, also hope u feel better soon ❤️❤️",1,2021-07-07 17:31:23
the art of war is a girls mouth,0,2021-07-07 17:29:04
"13. From Kargil to the Coup @NasimZehra 

#Political_Satire
14. Animal Farm 
&amp;
15. 1984 by George Orwell

#Crime_Fiction by @omarshamid  
16. The Prisoner
17. The Spinners Tale
18. Betrayal

#Mil_strategy
19. The Art of War by Sun Tzu

#Horror_fiction
20. Frankenstein by Mary S.",15,2021-07-07 17:27:28
"@andrebazinga Haha. I have the Art of War by Sun tzu. I had a date who judged me because she thought I was a finance bro. I was like, no I genuinely bought it alongside Romance of Three Kingdoms.",134,2021-07-07 17:14:53
$50 bucks says they took out The Art Of War and replaced it with Meditations to not get the FBI to check under their floorboards. https://t.co/5HPjN91LDk,0,2021-07-07 17:08:50
