tweets,likes,time
"Soothing music and chill

https://t.co/ir4a1z6kh5",0,2021-07-09 02:01:54
the song of achilles is so perfectly written i love it,0,2021-07-09 01:55:23
i wanted to sleep early tonight but i just stayed up and finished reading the song of achilles and now . NOW IM TOO EMOTIONALLY DAMAGED TO SLEEP,3,2021-07-09 01:53:01
@gojogoober the song of achilles!!,0,2021-07-09 01:52:18
Randomly tearing up because I keep remembering moments from The Song of Achilles and They Both Die At the End.,0,2021-07-09 01:44:58
RT @nieprzyjemnosci: somehow it still amazes me that some of you have no idea what the song of achilles is about when you reach for that bo…,0,2021-07-09 01:40:53
"ok but the song of achilles was written so beautifully what thr fUck,, brb gonna cry😍😍😍😍😍😍😍",2,2021-07-09 01:27:41
"RT @dreambeside: hi im new to #booktwt and im looking for mutuals &lt;3

my favs -
shadowhunter chronicles (tda)
girls of paper and fire
furyb…",0,2021-07-09 01:16:11
reading the song of achilles while listening to folklore yeah i'm gay,1,2021-07-09 01:14:58
"RT @darkfoIk: hi besties my name is laur, im 19 and my pronouns are she/her. im new to #booktwt and im looking for mutuals!

some of my fav…",0,2021-07-09 01:10:24
"RT @darkfoIk: hi besties my name is laur, im 19 and my pronouns are she/her. im new to #booktwt and im looking for mutuals!

some of my fav…",0,2021-07-09 01:07:44
um i’m starting the song of achilles wish me luck,2,2021-07-09 00:48:52
@swagcarder ive only read the song of achilles but if u havent read it i would 10000% recommend its amazinggg https://t.co/198c63ZrVj,1,2021-07-09 00:47:36
"RT @darkfoIk: hi besties my name is laur, im 19 and my pronouns are she/her. im new to #booktwt and im looking for mutuals!

some of my fav…",0,2021-07-09 00:45:39
RT @onyx_and_elm: the song of achilles is the greatest work of nonfiction in human history,0,2021-07-09 00:44:35
Currently reading? — im reading chainsaw man in terms of manga and other than that i think im going to start reading the song of achilles https://t.co/HRek3lJQxq,0,2021-07-09 00:43:37
I’ve read 65 books so far this year and all I have to say about that is the song of achilles is really not worth the hype lol,1,2021-07-09 00:41:37
"the song of achilles.. kek apaya entah gue yg emang kurang ngerti bahasanya tapi emang boring juga sih terutama bagian tengahnya, terus karena udh kena spoiler juga kali ya endingnya jd ga ada nangis samsek 🥲 https://t.co/hUUo1dwW3K",0,2021-07-09 00:31:55
"RT @darkfoIk: hi besties my name is laur, im 19 and my pronouns are she/her. im new to #booktwt and im looking for mutuals!

some of my fav…",0,2021-07-09 00:31:32
my irl recommended me the song of achilles and i just finished it i think she wants me to be in pain constantly??,0,2021-07-09 00:28:43
"RT @darkfoIk: hi besties my name is laur, im 19 and my pronouns are she/her. im new to #booktwt and im looking for mutuals!

some of my fav…",0,2021-07-09 00:25:26
"RT @darkfoIk: hi besties my name is laur, im 19 and my pronouns are she/her. im new to #booktwt and im looking for mutuals!

some of my fav…",0,2021-07-09 00:19:09
"RT @darkfoIk: hi besties my name is laur, im 19 and my pronouns are she/her. im new to #booktwt and im looking for mutuals!

some of my fav…",0,2021-07-09 00:14:27
"RT @daphcarstairs: hey! i’m trying to get more #booktwt moots. i haven’t read a lot but here are some of my favs: 
- six of crows
- shadow…",0,2021-07-09 00:13:57
RT @nieprzyjemnosci: somehow it still amazes me that some of you have no idea what the song of achilles is about when you reach for that bo…,0,2021-07-09 00:10:04
RT @artofparkerb: Just finished The Song of Achilles by Madeline Miller 😭😭 #songofachilles #achilles https://t.co/ZFuGTpbQJA,0,2021-07-09 00:07:02
@Mme_Mitchell The Song of Achilles&gt;&gt;&gt;,1,2021-07-08 23:58:49
"RT @skyydotcom: hi my name is sky :) i’m new to booktwt and wanna make more reading moots 

i’ll just list some of my current favs, rt if y…",0,2021-07-08 23:58:11
"hi my name is sky :) i’m new to booktwt and wanna make more reading moots 

i’ll just list some of my current favs, rt if you have any in common &lt;3 
-the song of achilles 
-the invisible life of addie larue 
-the silent patient
-city of thieves
-the shadow of the wind

&lt;33",5,2021-07-08 23:54:54
"RT @daphcarstairs: hey! i’m trying to get more #booktwt moots. i haven’t read a lot but here are some of my favs: 
- six of crows
- shadow…",0,2021-07-08 23:42:54
"RT @daphcarstairs: hey! i’m trying to get more #booktwt moots. i haven’t read a lot but here are some of my favs: 
- six of crows
- shadow…",0,2021-07-08 23:42:03
"RT @daphcarstairs: hey! i’m trying to get more #booktwt moots. i haven’t read a lot but here are some of my favs: 
- six of crows
- shadow…",0,2021-07-08 23:40:04
RT @onyx_and_elm: the song of achilles is the greatest work of nonfiction in human history,0,2021-07-08 23:39:56
YR destroyed me as much as The Song Of Achilles destroyed me,0,2021-07-08 23:37:04
"Je cherche quel livre prendre avec moi à l'hôpital lundi. They Both Die at the End et The Song of Achilles c'est mort, je veux pouvoir pleurer en paix dans la confortabilité de ma chambre. Il reste donc Boyfriend Material, Le Sorceleur, ou Metro. Sinon j'ai toujours KU aussi",0,2021-07-08 23:35:30
"i’ll never forget that time i read if we were villains, they both die at the end and the song of achilles in one day. i literally never stopped crying.",1,2021-07-08 23:29:12
"RT @darkfoIk: hi besties my name is laur, im 19 and my pronouns are she/her. im new to #booktwt and im looking for mutuals!

some of my fav…",0,2021-07-08 23:26:37
ive literally already read the song of achilles because kirsty is a bot for the bot,1,2021-07-08 23:20:54
"RT @darkfoIk: hi besties my name is laur, im 19 and my pronouns are she/her. im new to #booktwt and im looking for mutuals!

some of my fav…",0,2021-07-08 23:18:34
RT @onyx_and_elm: the song of achilles is the greatest work of nonfiction in human history,0,2021-07-08 23:16:30
RT @snowyfuxue: I did not plan to live after he was gone (The Song of Achilles - Madeline Miller) https://t.co/iyCqmrxiKM,0,2021-07-08 23:16:26
The song of Achilles https://t.co/iwiVZE6ZGi,1,2021-07-08 23:06:53
RT @onyx_and_elm: the song of achilles is the greatest work of nonfiction in human history,0,2021-07-08 22:59:06
"Finished with The Song of Achilles, by Madeline Miller: No hay palabras https://t.co/PadYm4MR8t",2,2021-07-08 22:56:28
the song of Achilles Frazer Douglas audiobook narration bitch—— I don’t even like the book and I don’t even like audiobooks this is the first I’ve listened through 10/10,0,2021-07-08 22:50:27
"RT @shelleypchan: SHE WHO BECAME THE SUN

7.20.21 from @torbooks &amp; @MantleBooks 

Mulan meets The Song of Achilles in a queer reimagining o…",0,2021-07-08 22:49:43
How am I supposed to enjoy The Song of Achilles when my mom made me watch Troy about 100 times as a child so I already know what's going to happen???,10,2021-07-08 22:47:41
RT @nieprzyjemnosci: somehow it still amazes me that some of you have no idea what the song of achilles is about when you reach for that bo…,0,2021-07-08 22:45:43
